"Game","#Athlete","Avg. round"
"BLACK_ADULT_MALE_MEDIUM_HEAVY","45","5.555555555555555"
"WHITE_MASTER_1_MALE_LIGHT_FEATHER","5","2.8"
"BLUE_ADULT_MALE_HEAVY","51","5.490196078431373"
"BROWN_ADULT_FEMALE_SUPER_HEAVY","4","2.0"
"BLACK_ADULT_FEMALE_MEDIUM_HEAVY","6","2.6666666666666665"
"PURPLE_ADULT_FEMALE_MIDDLE","17","4.9411764705882355"
"BLACK_ADULT_MALE_ROOSTER","18","4.888888888888889"
"BLUE_JUVENILE_2_FEMALE_SUPER_HEAVY","2","1.0"
"BLUE_ADULT_FEMALE_FEATHER","36","5.694444444444445"
"BLUE_JUVENILE_1_FEMALE_LIGHT","3","1.3333333333333333"
"WHITE_MASTER_2_MALE_FEATHER","8","3.0"
"PURPLE_ADULT_MALE_LIGHT","110","6.327272727272727"
"WHITE_MASTER_1_MALE_MEDIUM_HEAVY","8","3.0"
"BLUE_ADULT_FEMALE_MIDDLE","19","4.842105263157895"
"BLUE_JUVENILE_2_MALE_HEAVY","7","2.5714285714285716"
"BLUE_ADULT_FEMALE_SUPER_HEAVY","6","2.6666666666666665"
"BLACK_ADULT_FEMALE_LIGHT","8","3.0"
"WHITE_ADULT_MALE_ROOSTER","9","4.0"
"BLACK_ADULT_MALE_SUPER_HEAVY","21","4.761904761904762"
"BLUE_JUVENILE_2_FEMALE_FEATHER","4","2.0"
"PURPLE_ADULT_MALE_SUPER_HEAVY","22","4.7272727272727275"
"BLACK_ADULT_FEMALE_LIGHT_FEATHER","6","2.6666666666666665"
"BLUE_ADULT_FEMALE_ROOSTER","20","4.8"
"BLUE_JUVENILE_1_MALE_LIGHT_FEATHER","4","2.0"
"WHITE_MASTER_2_MALE_ULTRA_HEAVY","4","2.0"
"PURPLE_ADULT_MALE_ROOSTER","26","4.615384615384615"
"BLUE_ADULT_FEMALE_LIGHT","35","5.714285714285714"
"WHITE_ADULT_FEMALE_LIGHT","27","4.592592592592593"
"PURPLE_ADULT_FEMALE_HEAVY","8","3.0"
"BLUE_JUVENILE_1_MALE_MEDIUM_HEAVY","7","2.5714285714285716"
"WHITE_ADULT_MALE_HEAVY","12","3.75"
"BLACK_ADULT_MALE_ULTRA_HEAVY","29","4.551724137931035"
"BLUE_JUVENILE_1_MALE_MIDDLE","10","3.9"
"BLACK_ADULT_FEMALE_ROOSTER","3","1.3333333333333333"
"WHITE_ADULT_FEMALE_ROOSTER","5","2.8"
"BLUE_JUVENILE_1_MALE_ULTRA_HEAVY","3","1.3333333333333333"
"WHITE_ADULT_FEMALE_MIDDLE","12","3.75"
"BLUE_ADULT_MALE_LIGHT_FEATHER","84","6.428571428571429"
"WHITE_MASTER_2_MALE_HEAVY","6","2.6666666666666665"
"WHITE_ADULT_FEMALE_FEATHER","21","4.761904761904762"
"WHITE_ADULT_MALE_ULTRA_HEAVY","15","3.6"
"PURPLE_ADULT_MALE_HEAVY","44","5.568181818181818"
"PURPLE_ADULT_FEMALE_SUPER_HEAVY","4","2.0"
"BLUE_ADULT_MALE_FEATHER","105","6.3428571428571425"
"BLACK_ADULT_MALE_MIDDLE","66","6.545454545454546"
"BLUE_JUVENILE_2_MALE_LIGHT","19","4.842105263157895"
"WHITE_ADULT_MALE_MIDDLE","28","4.571428571428571"
"BROWN_ADULT_MALE_HEAVY","23","4.695652173913044"
"WHITE_JUVENILE_2_MALE_MIDDLE","4","2.0"
"BROWN_ADULT_MALE_FEATHER","41","5.609756097560975"
"BLUE_JUVENILE_2_FEMALE_MIDDLE","4","2.0"
"BLUE_JUVENILE_1_FEMALE_SUPER_HEAVY","2","1.0"
"PURPLE_ADULT_FEMALE_LIGHT_FEATHER","16","4.0"
"WHITE_MASTER_1_MALE_SUPER_HEAVY","7","2.5714285714285716"
"WHITE_ADULT_FEMALE_MEDIUM_HEAVY","8","3.0"
"WHITE_MASTER_2_MALE_MIDDLE","14","3.642857142857143"
"BLACK_ADULT_MALE_LIGHT_FEATHER","29","4.551724137931035"
"WHITE_JUVENILE_1_MALE_MEDIUM_HEAVY","7","2.5714285714285716"
"BLUE_JUVENILE_1_FEMALE_MIDDLE","3","1.3333333333333333"
"PURPLE_ADULT_MALE_MIDDLE","86","6.4186046511627906"
"BLUE_JUVENILE_2_FEMALE_LIGHT","3","1.3333333333333333"
"BLACK_ADULT_FEMALE_MIDDLE","8","3.0"
"BLACK_ADULT_MALE_HEAVY","34","5.735294117647059"
"PURPLE_ADULT_MALE_ULTRA_HEAVY","27","4.592592592592593"
"BLUE_JUVENILE_2_MALE_LIGHT_FEATHER","6","2.6666666666666665"
"WHITE_MASTER_2_MALE_LIGHT_FEATHER","2","1.0"
"BLACK_ADULT_FEMALE_SUPER_HEAVY","4","2.0"
"WHITE_ADULT_FEMALE_HEAVY","6","2.6666666666666665"
"WHITE_MASTER_1_MALE_ULTRA_HEAVY","3","1.3333333333333333"
"BROWN_ADULT_FEMALE_LIGHT","9","4.0"
"WHITE_JUVENILE_1_MALE_ULTRA_HEAVY","1","0.0"
"WHITE_MASTER_1_MALE_LIGHT","5","2.8"
"BLUE_ADULT_FEMALE_LIGHT_FEATHER","37","5.675675675675675"
"BLUE_JUVENILE_2_MALE_ULTRA_HEAVY","1","0.0"
"WHITE_JUVENILE_1_MALE_LIGHT","4","2.0"
"BLUE_JUVENILE_1_MALE_LIGHT","9","4.0"
"PURPLE_ADULT_FEMALE_FEATHER","22","4.7272727272727275"
"WHITE_ADULT_MALE_SUPER_HEAVY","10","3.9"
"BROWN_ADULT_FEMALE_HEAVY","3","1.3333333333333333"
"BROWN_ADULT_FEMALE_FEATHER","11","3.8181818181818183"
"BLUE_JUVENILE_2_MALE_MIDDLE","12","3.75"
"BLUE_ADULT_FEMALE_MEDIUM_HEAVY","14","3.642857142857143"
"BLACK_ADULT_FEMALE_FEATHER","8","3.0"
"BROWN_ADULT_MALE_ROOSTER","12","3.75"
"WHITE_MASTER_1_MALE_HEAVY","9","4.0"
"BROWN_ADULT_MALE_MEDIUM_HEAVY","42","5.595238095238095"
"WHITE_JUVENILE_2_FEMALE_MEDIUM_HEAVY","3","1.3333333333333333"
"BLUE_JUVENILE_2_MALE_SUPER_HEAVY","3","1.3333333333333333"
"WHITE_ADULT_MALE_LIGHT","41","5.609756097560975"
"BROWN_ADULT_MALE_LIGHT_FEATHER","32","5.0"
"WHITE_MASTER_2_MALE_SUPER_HEAVY","5","2.8"
"BROWN_ADULT_MALE_LIGHT","62","5.403225806451613"
"BLUE_JUVENILE_2_FEMALE_HEAVY","1","0.0"
"BLACK_ADULT_FEMALE_HEAVY","6","2.6666666666666665"
"BLUE_JUVENILE_1_MALE_FEATHER","5","2.8"
"BLUE_ADULT_FEMALE_HEAVY","9","4.0"
"BLUE_ADULT_MALE_LIGHT","128","7.0"
"BROWN_ADULT_MALE_MIDDLE","55","5.454545454545454"
"WHITE_JUVENILE_2_MALE_LIGHT","5","2.8"
"BLUE_ADULT_MALE_MEDIUM_HEAVY","86","6.4186046511627906"
"WHITE_ADULT_MALE_LIGHT_FEATHER","20","4.8"
"BLUE_JUVENILE_1_MALE_ROOSTER","2","1.0"
"WHITE_ADULT_FEMALE_LIGHT_FEATHER","19","4.842105263157895"
"BROWN_ADULT_MALE_SUPER_HEAVY","22","4.7272727272727275"
"PURPLE_ADULT_MALE_LIGHT_FEATHER","54","5.462962962962963"
"BLACK_ADULT_MALE_LIGHT","55","5.454545454545454"
"BROWN_ADULT_MALE_ULTRA_HEAVY","20","4.8"
"WHITE_MASTER_1_MALE_MIDDLE","8","3.0"
"WHITE_MASTER_1_MALE_FEATHER","9","4.0"
"PURPLE_ADULT_FEMALE_ROOSTER","11","3.8181818181818183"
"PURPLE_ADULT_FEMALE_MEDIUM_HEAVY","9","4.0"
"BLUE_ADULT_MALE_ROOSTER","30","4.533333333333333"
"BLUE_ADULT_MALE_MIDDLE","106","6.339622641509434"
"BLACK_ADULT_MALE_FEATHER","48","5.520833333333333"
"BLUE_JUVENILE_1_MALE_HEAVY","1","0.0"
"BLUE_JUVENILE_2_MALE_ROOSTER","4","2.0"
"BLUE_ADULT_MALE_SUPER_HEAVY","40","5.625"
"PURPLE_ADULT_FEMALE_LIGHT","27","4.592592592592593"
"BROWN_ADULT_FEMALE_MEDIUM_HEAVY","4","2.0"
"BROWN_ADULT_FEMALE_LIGHT_FEATHER","8","3.0"
"BLUE_JUVENILE_1_FEMALE_FEATHER","4","2.0"
"BLUE_JUVENILE_2_MALE_MEDIUM_HEAVY","7","2.5714285714285716"
"WHITE_ADULT_FEMALE_SUPER_HEAVY","7","2.5714285714285716"
"PURPLE_ADULT_MALE_FEATHER","98","6.36734693877551"
"BLUE_JUVENILE_2_MALE_FEATHER","13","3.6923076923076925"
"WHITE_ADULT_MALE_MEDIUM_HEAVY","19","4.842105263157895"
"WHITE_JUVENILE_2_MALE_FEATHER","3","1.3333333333333333"
"PURPLE_ADULT_MALE_MEDIUM_HEAVY","69","6.521739130434782"
"WHITE_JUVENILE_2_FEMALE_FEATHER","1","0.0"
"BLUE_ADULT_MALE_ULTRA_HEAVY","26","4.615384615384615"
"WHITE_MASTER_2_MALE_LIGHT","7","2.5714285714285716"
"WHITE_ADULT_MALE_FEATHER","42","5.595238095238095"
"WHITE_JUVENILE_2_FEMALE_HEAVY","1","0.0"
"BROWN_ADULT_FEMALE_MIDDLE","5","2.8"
"WHITE_MASTER_2_MALE_MEDIUM_HEAVY","7","2.5714285714285716"
